Product,Category,Date,Price,Discount,Current_Stock,Lead_Time,Season,Demand
External Hard Drive,Storage,2026-07-22,4259,10,354,1,Monsoon,118
Gaming Keyboard,Gaming,2025-08-24,5821,15,483,2,Winter,133
External Hard Drive,Storage,2026-08-26,7380,0,252,2,Winter,86
Keyboard,Accessories,2025-08-14,2722,5,211,8,Winter,95
Headphones,Accessories,2025-01-08,3260,20,367,6,Winter,166
Gaming Keyboard,Gaming,2025-03-14,2350,0,182,7,Monsoon,99
Keyboard,Accessories,2025-03-02,1414,5,62,2,Summer,124
Keyboard,Accessories,2025-08-23,2354,10,213,8,Monsoon,133
Monitor,Electronics,2025-03-11,19193,0,354,7,Monsoon,52
Laptop,Electronics,2025-02-02,70349,10,88,6,Summer,63
Monitor,Electronics,2025-12-05,13346,20,461,3,Summer,96
Monitor,Electronics,2025-03-14,22861,10,308,9,Monsoon,88
Gaming Keyboard,Gaming,2026-06-11,3073,15,493,8,Monsoon,127
Monitor,Electronics,2025-09-01,8415,10,62,1,Monsoon,80
Smartphone,Electronics,2025-10-13,33822,10,218,7,Summer,96
Wireless Mouse,Accessories,2026-05-13,1001,0,459,6,Winter,149
External Hard Drive,Storage,2025-08-08,5192,15,186,8,Monsoon,130
Keyboard,Accessories,2026-07-07,1476,0,33,7,Monsoon,121
Monitor,Electronics,2025-05-16,22139,10,294,9,Monsoon,80
Headphones,Accessories,2026-08-08,3486,5,68,8,Winter,131
Printer,Electronics,2026-08-14,18780,15,61,8,Summer,75
Gaming Keyboard,Gaming,2026-04-30,5665,0,102,4,Monsoon,74
Smartphone,Electronics,2025-09-06,27678,0,253,10,Summer,95
Smartphone,Electronics,2026-04-30,35065,0,209,4,Winter,66
External Hard Drive,Storage,2026-02-21,6972,0,296,9,Monsoon,60
Keyboard,Accessories,2025-07-14,1423,5,451,3,Summer,127
Wireless Mouse,Accessories,2025-04-07,363,0,301,9,Monsoon,147
Wireless Mouse,Accessories,2025-04-10,1445,10,342,9,Monsoon,140
Gaming Keyboard,Gaming,2026-03-18,7815,0,121,4,Winter,82
Headphones,Accessories,2025-12-29,3458,0,275,5,Winter,115
Monitor,Electronics,2026-03-10,11232,10,167,9,Summer,102
Laptop,Electronics,2026-02-25,50286,0,217,5,Monsoon,54
Headphones,Accessories,2026-04-24,4429,0,98,5,Summer,126
Laptop,Electronics,2025-02-25,64626,20,296,4,Winter,72
Monitor,Electronics,2025-04-11,17735,10,425,3,Monsoon,68
Printer,Electronics,2025-03-04,18080,20,435,6,Winter,111
Gaming Keyboard,Gaming,2026-02-17,2783,10,488,5,Monsoon,97
Gaming Keyboard,Gaming,2025-12-14,6275,0,242,2,Monsoon,93
Printer,Electronics,2025-04-22,13086,0,404,1,Summer,33
Smartphone,Electronics,2025-09-12,44455,15,49,8,Monsoon,100
Printer,Electronics,2025-07-16,15779,5,455,6,Winter,76
Printer,Electronics,2025-07-14,16727,15,241,6,Monsoon,77
Printer,Electronics,2026-07-04,10383,0,41,5,Summer,64
Laptop,Electronics,2026-04-05,54813,10,321,9,Monsoon,70
Wireless Mouse,Accessories,2025-05-24,1122,5,384,4,Winter,147
Smartphone,Electronics,2026-03-09,28084,10,179,7,Summer,109
Keyboard,Accessories,2025-07-07,1493,5,396,10,Winter,124
Smartphone,Electronics,2025-10-13,43461,10,242,6,Monsoon,81
Printer,Electronics,2026-04-19,5934,10,437,6,Winter,101
Keyboard,Accessories,2025-09-13,2100,0,207,2,Monsoon,87
Printer,Electronics,2025-03-19,5185,0,71,2,Winter,63
Keyboard,Accessories,2026-03-30,2614,15,381,7,Winter,137
Smartphone,Electronics,2026-07-18,31938,10,355,4,Winter,116
Smartphone,Electronics,2025-04-11,49219,10,193,5,Summer,76
Smartphone,Electronics,2025-02-21,25818,10,407,9,Summer,110
External Hard Drive,Storage,2026-07-08,5073,0,239,7,Winter,111
Laptop,Electronics,2025-01-16,55831,15,226,8,Summer,104
Laptop,Electronics,2025-04-06,48420,5,53,8,Winter,75
Wireless Mouse,Accessories,2025-08-31,1344,10,381,10,Winter,130
Gaming Keyboard,Gaming,2025-06-20,3859,0,172,9,Winter,107
Printer,Electronics,2026-02-21,12382,15,131,1,Summer,101
Monitor,Electronics,2026-05-13,19736,0,357,9,Winter,43
Monitor,Electronics,2026-05-08,9349,20,128,5,Winter,122
Laptop,Electronics,2025-08-07,64822,0,91,6,Monsoon,46
Keyboard,Accessories,2026-02-15,1590,5,294,2,Monsoon,126
Laptop,Electronics,2025-03-02,41866,0,461,1,Summer,42
Monitor,Electronics,2025-06-18,11033,15,181,9,Winter,114
Gaming Keyboard,Gaming,2026-01-24,5563,15,325,3,Monsoon,103
Laptop,Electronics,2025-01-03,56956,15,404,4,Summer,94
Wireless Mouse,Accessories,2026-02-04,1162,0,391,4,Winter,132
Smartphone,Electronics,2025-09-29,29200,20,421,9,Monsoon,127
Wireless Mouse,Accessories,2026-04-11,1168,20,321,1,Winter,185
Headphones,Accessories,2025-10-20,3356,10,213,5,Summer,144
External Hard Drive,Storage,2026-03-10,4828,15,470,9,Monsoon,118
Smartphone,Electronics,2026-07-24,21717,15,86,2,Monsoon,110
External Hard Drive,Storage,2026-05-14,5884,15,188,10,Winter,141
Smartphone,Electronics,2025-06-08,41926,5,350,10,Monsoon,77
Monitor,Electronics,2025-07-14,17168,0,208,5,Summer,54
Monitor,Electronics,2025-10-31,21341,15,336,10,Winter,109
Gaming Keyboard,Gaming,2025-08-11,5961,15,208,8,Summer,105
Keyboard,Accessories,2025-03-01,1638,10,406,6,Summer,138
Laptop,Electronics,2026-08-17,57034,10,30,2,Summer,81
Keyboard,Accessories,2026-07-10,2293,0,262,2,Summer,103
Laptop,Electronics,2025-03-04,56718,10,466,10,Monsoon,72
Laptop,Electronics,2025-11-18,52812,0,410,4,Winter,70
External Hard Drive,Storage,2025-02-28,3983,15,199,3,Monsoon,125
Monitor,Electronics,2025-02-21,8064,0,194,8,Summer,73
Monitor,Electronics,2026-08-22,23000,0,106,8,Winter,59
Printer,Electronics,2026-05-04,18434,10,492,8,Monsoon,73
Smartphone,Electronics,2026-05-30,28104,15,303,8,Winter,118
Keyboard,Accessories,2026-06-28,2149,20,311,7,Monsoon,147
Wireless Mouse,Accessories,2025-06-11,878,5,311,8,Summer,153
Keyboard,Accessories,2025-02-28,1533,15,41,1,Monsoon,153
Wireless Mouse,Accessories,2026-06-05,1496,5,233,10,Monsoon,143
Smartphone,Electronics,2025-03-24,17709,0,113,7,Winter,102
Laptop,Electronics,2025-07-10,68684,20,320,5,Summer,86
Smartphone,Electronics,2025-03-12,12834,0,133,9,Monsoon,93
Headphones,Accessories,2026-09-02,4695,10,172,8,Summer,142
Headphones,Accessories,2025-03-11,1240,20,298,8,Monsoon,143
Printer,Electronics,2025-08-29,18136,5,303,2,Monsoon,38
Keyboard,Accessories,2026-02-18,1483,5,76,3,Summer,109
Gaming Keyboard,Gaming,2025-05-03,7058,20,421,8,Monsoon,127
Printer,Electronics,2026-08-07,15579,5,97,5,Summer,73
Laptop,Electronics,2025-09-10,65265,5,191,1,Monsoon,35
Monitor,Electronics,2026-08-16,16150,5,281,7,Winter,81
Laptop,Electronics,2026-09-01,40674,10,302,9,Monsoon,78
Keyboard,Accessories,2025-02-10,1353,0,140,3,Summer,104
Wireless Mouse,Accessories,2025-03-25,1192,10,99,7,Winter,157
Headphones,Accessories,2026-03-06,3715,10,469,10,Winter,117
Headphones,Accessories,2026-08-21,2470,20,110,6,Monsoon,172
Wireless Mouse,Accessories,2026-08-02,323,20,429,3,Winter,164
Smartphone,Electronics,2026-06-20,21325,0,320,5,Monsoon,106
Monitor,Electronics,2025-11-20,20648,10,161,7,Winter,106
Smartphone,Electronics,2025-09-25,18055,5,435,3,Summer,97
Monitor,Electronics,2025-07-29,14099,15,372,9,Summer,109
Keyboard,Accessories,2025-11-18,2176,0,268,4,Summer,111
Gaming Keyboard,Gaming,2025-09-02,2072,0,169,9,Winter,95
Keyboard,Accessories,2025-09-29,2376,20,326,1,Summer,142
Printer,Electronics,2026-02-10,14364,15,281,1,Winter,79
Monitor,Electronics,2025-05-15,24473,5,409,6,Winter,74
Wireless Mouse,Accessories,2025-11-04,1389,0,410,2,Winter,119
Wireless Mouse,Accessories,2026-04-14,954,0,481,10,Winter,114
Keyboard,Accessories,2025-11-20,1379,20,488,8,Summer,168
Gaming Keyboard,Gaming,2025-03-16,7750,0,167,7,Winter,98
Laptop,Electronics,2025-01-10,47597,5,250,5,Monsoon,50
Laptop,Electronics,2026-04-15,69754,0,209,10,Summer,61
Printer,Electronics,2026-07-31,6903,0,137,8,Winter,89
Smartphone,Electronics,2025-04-13,39144,15,113,4,Monsoon,109
Keyboard,Accessories,2025-03-17,1956,5,227,7,Summer,124
External Hard Drive,Storage,2026-07-05,6996,0,490,2,Summer,74
Wireless Mouse,Accessories,2025-08-07,1270,20,117,5,Monsoon,167
Printer,Electronics,2026-06-03,16650,15,456,3,Summer,81
Smartphone,Electronics,2025-09-29,10192,10,36,2,Monsoon,120
Smartphone,Electronics,2025-05-16,16966,0,76,10,Summer,88
External Hard Drive,Storage,2025-12-24,7465,5,48,5,Winter,115
External Hard Drive,Storage,2025-03-12,8642,0,60,9,Summer,82
Monitor,Electronics,2025-09-08,23384,0,211,7,Monsoon,48
Keyboard,Accessories,2026-01-14,2073,5,473,1,Monsoon,106
External Hard Drive,Storage,2025-10-19,4675,15,179,10,Monsoon,119
Keyboard,Accessories,2025-06-11,2177,20,412,8,Summer,124
Keyboard,Accessories,2026-03-25,2577,15,448,6,Summer,142
Printer,Electronics,2026-07-11,11701,5,170,5,Monsoon,93
Smartphone,Electronics,2025-11-06,39668,20,99,2,Monsoon,99
External Hard Drive,Storage,2026-06-26,8465,5,413,5,Monsoon,103
Printer,Electronics,2025-01-09,13182,20,141,4,Summer,99
External Hard Drive,Storage,2026-07-22,3790,20,312,7,Winter,142
Smartphone,Electronics,2025-11-03,46720,0,408,3,Winter,73
Laptop,Electronics,2025-04-17,55370,20,303,9,Winter,106
Monitor,Electronics,2025-05-18,9518,0,304,4,Winter,71
Smartphone,Electronics,2025-09-28,26902,20,376,2,Monsoon,117
Keyboard,Accessories,2025-04-29,847,0,397,10,Monsoon,127
Wireless Mouse,Accessories,2025-04-20,574,0,341,4,Summer,123
Laptop,Electronics,2026-07-21,66975,20,281,4,Monsoon,99
Monitor,Electronics,2025-06-09,18841,15,134,5,Summer,76
Printer,Electronics,2025-10-06,19823,15,279,1,Monsoon,77
Printer,Electronics,2025-10-16,14421,5,430,2,Summer,60
Headphones,Accessories,2026-09-12,1518,10,173,7,Monsoon,148
Printer,Electronics,2025-08-04,6868,5,262,4,Summer,69
Headphones,Accessories,2025-12-18,1556,10,116,7,Summer,146
External Hard Drive,Storage,2025-07-28,7668,15,474,5,Winter,119
Printer,Electronics,2025-09-28,18602,20,104,2,Summer,68
Smartphone,Electronics,2026-06-02,44186,20,194,7,Winter,101
Headphones,Accessories,2026-05-16,2804,20,465,6,Monsoon,170
Wireless Mouse,Accessories,2025-09-15,412,20,135,10,Summer,169
Keyboard,Accessories,2025-02-22,2798,0,130,10,Monsoon,99
Printer,Electronics,2025-04-05,6323,15,82,10,Summer,80
Keyboard,Accessories,2026-03-10,2396,5,422,8,Monsoon,102
Headphones,Accessories,2025-10-11,4216,0,319,6,Winter,113
Gaming Keyboard,Gaming,2025-02-15,3305,20,384,2,Winter,130
Keyboard,Accessories,2025-01-04,1729,10,261,3,Winter,140
Smartphone,Electronics,2025-12-08,17143,20,84,10,Summer,131
Headphones,Accessories,2025-05-14,3763,20,351,2,Monsoon,171
Laptop,Electronics,2025-09-26,79953,10,449,7,Monsoon,48
Printer,Electronics,2025-06-15,13892,5,283,7,Summer,56
Smartphone,Electronics,2026-03-29,46851,20,239,3,Monsoon,113
Keyboard,Accessories,2026-07-19,1897,15,493,4,Winter,130
Headphones,Accessories,2026-03-14,1876,20,455,3,Winter,172
External Hard Drive,Storage,2026-07-29,8259,5,402,4,Monsoon,64
External Hard Drive,Storage,2025-01-10,9711,10,370,4,Monsoon,78
Wireless Mouse,Accessories,2025-04-25,808,10,156,10,Monsoon,158
Wireless Mouse,Accessories,2025-03-19,511,20,279,10,Summer,181
Printer,Electronics,2025-06-02,5657,0,470,5,Monsoon,80
Keyboard,Accessories,2026-07-13,2134,10,363,5,Summer,114
External Hard Drive,Storage,2025-02-06,4892,5,51,8,Winter,112
Gaming Keyboard,Gaming,2026-01-14,2231,15,471,5,Monsoon,128
Gaming Keyboard,Gaming,2026-08-20,4689,20,63,7,Summer,135
Laptop,Electronics,2026-07-20,77233,15,204,1,Summer,61
Keyboard,Accessories,2025-06-01,1176,20,355,9,Monsoon,132
Headphones,Accessories,2026-03-17,2415,10,50,1,Monsoon,135
Printer,Electronics,2025-05-11,6232,20,480,4,Monsoon,102
Laptop,Electronics,2025-02-12,42570,15,93,10,Monsoon,77
Printer,Electronics,2025-11-12,6457,10,41,6,Summer,85
Laptop,Electronics,2026-01-09,49340,20,36,5,Winter,120
Gaming Keyboard,Gaming,2025-02-10,3441,5,371,7,Winter,98
Monitor,Electronics,2026-01-02,13642,0,93,8,Summer,96
Smartphone,Electronics,2025-08-04,29387,10,62,2,Summer,97
Headphones,Accessories,2025-09-13,2495,15,67,3,Summer,154
Printer,Electronics,2025-04-16,13160,10,429,6,Summer,70
Wireless Mouse,Accessories,2025-12-29,315,15,369,6,Monsoon,189
External Hard Drive,Storage,2026-07-28,8490,10,177,2,Winter,93
Laptop,Electronics,2026-02-21,54944,5,111,9,Summer,82
Laptop,Electronics,2025-06-08,53107,0,97,7,Winter,72
Monitor,Electronics,2025-08-31,14809,15,412,2,Monsoon,110
Printer,Electronics,2025-06-16,11602,20,51,8,Monsoon,100
Laptop,Electronics,2025-07-01,44930,5,39,3,Winter,79
Headphones,Accessories,2026-02-27,1404,0,76,7,Monsoon,120
Gaming Keyboard,Gaming,2025-01-26,6948,0,460,3,Monsoon,58
Printer,Electronics,2025-07-03,5633,10,148,7,Winter,80
Keyboard,Accessories,2025-12-07,2744,0,130,9,Winter,84
Headphones,Accessories,2026-02-26,3580,20,276,5,Winter,154
External Hard Drive,Storage,2025-09-12,6804,5,158,2,Monsoon,81
Smartphone,Electronics,2025-10-01,22414,15,448,10,Winter,134
Headphones,Accessories,2025-06-13,2090,0,263,4,Summer,135
Laptop,Electronics,2025-04-21,67299,15,341,6,Summer,70
Monitor,Electronics,2026-01-27,11672,20,184,5,Monsoon,136
External Hard Drive,Storage,2025-02-09,5018,5,233,8,Winter,106
Gaming Keyboard,Gaming,2026-04-27,4278,20,463,10,Summer,134
Monitor,Electronics,2025-08-16,18014,10,170,3,Monsoon,93
Monitor,Electronics,2025-07-24,21068,15,267,5,Monsoon,87
Headphones,Accessories,2026-04-17,1226,15,126,6,Summer,180
